2026-05-12 17:50:17 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:17 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:17 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:17 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:17 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:17 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:17 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:17 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:17 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:17 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:17 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:17 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:17 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:17 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:17 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:17 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:17 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:17 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:17 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:17 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:17 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:17 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:17 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:17 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:17 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:17 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:17 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:17 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:17 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:17 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:17 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:17 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:17 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:17 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:17 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:17 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:17 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:17 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:17 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:17 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:17 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:17 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:17 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:17 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:17 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:17 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:17 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:17 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:17 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:17 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:17 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:17 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:17 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:17 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:17 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:17 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:17 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:17 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:17 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:17 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:17 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:17 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:17 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:18 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:18 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:18 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:18 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:18 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:18 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:18 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:18 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:18 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:18 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:18 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:18 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:18 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:18 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:18 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:18 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:18 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:18 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:18 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:18 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:18 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:18 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:18 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:18 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:18 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:18 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:18 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:18 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:18 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:18 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:18 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:18 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:18 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:18 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:18 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:18 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:18 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:18 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:18 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:18 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:18 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:18 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:18 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:18 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:18 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:18 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:18 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:18 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:18 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:18 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:18 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:18 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:18 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:18 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:18 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:18 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:18 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:18 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:18 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:18 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:18 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:18 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:18 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:18 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:18 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:18 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:18 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:18 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:18 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:18 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:18 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:18 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:18 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:18 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:18 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:18 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:18 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:18 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:18 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:18 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:18 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:18 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:18 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
2026-05-12 17:50:18 | WARNING  | Thread-7 (_dubbing_pipeline) | translator.py:663 | Offline context doldu — token taşması riski! prompt=116 token, n_ctx=512, kalan=246. Online fallback devreye giriyor.
2026-05-12 17:50:18 | INFO     | Thread-7 (_dubbing_pipeline) | translator.py:501 | Online kota cooldown aktif (39s kaldı) — bulut atlanıyor, direkt offline'a iniliyor.
